District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Miami Unified School District,2017,Gila,5,T-7,7,8,Medium,Rural,"1,108",3,54.5%,50.2%,15.3%,14.4%,3.7%,4.7%,5.9%,1.5%,"$1,162","$1,102",High,62,53,High,$4.96,$5.20,Comparable,220,263,Very Low,Low,$3.90,$3.54,High,High,$4.44,$2.98,Very High,"$1,234",$921,Very High,Very High,"$4,133","$4,541","$1,162","$1,102","$1,093","$1,289",$282,$396,$359,$488,$445,$632,$112,$346,"$7,586","$8,794",$163,$764,$572,$536,$36,$221,$0,$78,$771,"$1,599","$8,357","$10,393",24%,18%,20%,17%,36%,25%,90%,92%,88%,79%,42%,43%,11%,12%,18.9,15.3,"$43,932","$48,972","$5,069","$4,489",17.5,12.6,5%,16%,"$1,424","$3,999","$2,893","$4,066","$4,298","$4,210","$8,615","$12,275","$5,602","$5,929",$234,$243,$47,$49,"$1,526","$1,751",$118,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,$520,20 of 29,Low,Steady,Low,No overspending,Low,No election held,No Measure,"6.4%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Mingus Union High School District,2017,Yavapai,5,T-7,10,1 and 6,Medium,Town,"1,181",1,58.3%,50.2%,11.6%,9.9%,2.7%,4.6%,10.5%,2.4%,$875,"$1,102",Very Low,62,53,Very Low,$4.44,$5.20,Low,168,263,Very Low,Very Low,$2.81,$3.54,Very Low,Very Low,NR,$2.98,NR,"$1,236",$921,Very High,No measure,"$4,413","$4,541",$875,"$1,102",$746,"$1,289",$204,$396,$348,$488,$793,$632,$186,$346,"$7,565","$8,794","$1,265",$764,"$2,393",$536,$407,$221,$53,$78,"$4,118","$1,599","$11,683","$10,393",38%,28%,29%,23%,38%,26%,92%,94%,83%,91%,19%,14%,10%,14%,20.7,13.1,"$44,941","$40,448","$8,568","$5,163",10.2,9.6,20%,19%,$734,"$3,999","$1,769","$4,066","$6,777","$4,210","$9,280","$12,275","$5,076","$5,929",$232,$243,$51,$49,$885,"$1,751",$108,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,"$2,029",20 of 29,Moderate,Steady,Low,Isolated,Moderate,Voter-approved,Low,"1.4%, Increasing",High,1 to 3 years,Moderate,Marginally compliant,Moderate
Mobile Elementary School District,2017,Maricopa,11,T-11,18,4,Very small,Rural,20,1,37.2%,50.5%,30.5%,21.1%,5.0%,3.6%,1.5%,1.1%,"$10,323","$3,137",No Measure,11,32,No Measure,$6.34,$6.96,No Measure,"1,130",412,No Measure,No Measure,$7.31,$5.79,No Measure,No Measure,$1.96,$1.87,No Measure,"$1,198","$1,459",No Measure,No Measure,"$12,611","$8,613","$10,323","$3,137","$7,166","$2,644","$1,680","$1,000","$1,229",$961,$522,$601,$368,$498,"$33,899","$17,454","$2,282","$1,161",$829,$735,$25,$31,$152,$90,"$3,288","$2,017","$37,187","$19,471",Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,87%,94%,N/A,N/A,28%,26%,15%,14%,5.1,14.6,"$44,094","$49,194","$2,223","$5,175",10.1,14.0,0%,7%,"$2,051","$2,908","$2,465","$5,692","$35,995","$13,343","$40,511","$21,943","$5,694","$9,932",$256,$315,$32,$57,"$5,229","$2,701",$109,$184,$0,0 of 54,"$21,271",44 of 54,$0,5 of 54,$0,7 of 54,Moderate,Small school adjustment,Low,Isolated,Moderate,No election held,No Measure,"Frozen taxes, Unfunded",High,More than 3 years,Low,Not assessed,No Measure
Mohave Valley Elementary School District,2017,Mohave,9,T-7,18,5,Medium,Town,"1,083",3,47.5%,50.0%,10.0%,13.9%,6.3%,6.5%,7.3%,8.5%,$863,"$1,060",Very Low,66,58,Very Low,$5.93,$6.71,Low,203,153,Very High,Comparable,$2.83,$3.04,Low,Low,$2.35,$2.98,Very Low,$801,$921,Low,Very Low,"$4,115","$4,115",$863,"$1,060","$1,204","$1,004",$542,$571,$561,$427,$636,$528,$737,$463,"$8,658","$8,168",$411,$917,$408,$314,$7,$77,$113,$148,$939,"$1,456","$9,597","$9,624",38%,36%,38%,37%,64%,61%,94%,94%,N/A,N/A,25%,26%,13%,14%,20.8,14.6,"$55,544","$49,194","$9,626","$5,175",9.0,14.0,13%,7%,"$1,594","$1,753","$3,292","$4,842","$4,499","$2,654","$9,385","$9,249","$6,049","$5,748",$256,$239,$47,$44,"$1,892","$2,064",$16,$69,$0,0 of 10,$0,0 of 10,$63,3 of 10,$35,8 of 10,Low,Large decrease,High,No overspending,Low,Voter-approved,Low,"6.8%, Varying",Low,More than 3 years,Low,Marginally compliant,Moderate
Mohawk Valley Elementary School District,2017,Yuma,11,T-11,18,4 and 13,Very small,Rural,165,1,48.2%,50.5%,18.1%,18.9%,7.3%,5.8%,1.2%,0.5%,"$1,776","$3,137",No Measure,55,32,No Measure,$6.36,$6.96,No Measure,290,412,No Measure,No Measure,$3.58,$5.79,No Measure,No Measure,$1.85,$1.87,No Measure,$830,"$1,459",No Measure,No Measure,"$4,720","$8,613","$1,776","$3,137","$1,846","$2,644",$718,"$1,000",$569,$961,$116,$601,$48,$498,"$9,793","$17,454","$1,075","$1,161",$582,$735,$95,$31,$0,$90,"$1,752","$2,017","$11,545","$19,471",35%,36%,34%,37%,70%,61%,95%,94%,N/A,N/A,27%,26%,17%,14%,19.4,14.6,"$45,291","$49,194","$6,404","$5,175",16.4,14.0,22%,7%,"$1,577","$2,908","$6,813","$5,692","$3,186","$13,343","$11,576","$21,943","$7,522","$9,932",$283,$315,$49,$57,"$2,259","$2,701",$47,$184,$0,0 of 54,$0,44 of 54,$0,5 of 54,$43,7 of 54,Low,Increase,Low,No overspending,Low,No election held,No Measure,"3.8%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Morenci Unified School District,2017,Greenlee,5,T-6,4,14,Medium,Town,"1,332",3,59.0%,50.2%,15.1%,12.5%,3.7%,4.2%,3.7%,1.8%,"$1,361","$1,102",Very High,62,53,Very High,$4.56,$5.20,Low,247,263,Low,Low,$3.45,$3.54,Comparable,Comparable,$5.65,$3.94,Very High,"$1,121",$728,Very High,Very High,"$5,320","$4,541","$1,361","$1,102","$1,124","$1,289",$335,$396,$380,$488,$336,$632,$163,$346,"$9,019","$8,794",$320,$764,$244,$536,$11,$221,$766,$78,"$1,341","$1,599","$10,360","$10,393",47%,31%,45%,31%,67%,52%,94%,94%,94%,88%,7%,15%,9%,13%,17.5,15.7,"$51,800","$45,360","$5,862","$5,787",12.6,10.4,10%,17%,$454,"$3,999",$806,"$4,066","$9,176","$4,210","$10,436","$12,275","$5,612","$5,929",$246,$243,$49,$49,$717,"$1,751","$1,816",$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,$614,20 of 29,Moderate,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"0.9%, Steady",High,1 to 3 years,Moderate,Marginally compliant,Moderate
Morristown Elementary School District,2017,Maricopa,11,T-11,16,13,Very small,Rural,102,1,52.1%,50.5%,13.0%,12.6%,7.5%,9.2%,4.5%,1.1%,"$2,035","$3,137",No Measure,46,32,No Measure,$6.01,$6.96,No Measure,329,412,No Measure,No Measure,$5.59,$5.79,No Measure,No Measure,$2.17,$1.87,No Measure,"$1,776","$1,459",No Measure,No Measure,"$8,165","$8,613","$2,035","$3,137","$1,978","$2,644","$1,175","$1,000","$1,434",$961,$704,$601,$171,$498,"$15,662","$17,454",$286,"$1,161",$501,$735,$0,$31,$0,$90,$787,"$2,017","$16,449","$19,471",48%,36%,45%,41%,64%,66%,94%,95%,N/A,N/A,11%,11%,12%,15%,10.2,12.0,"$47,416","$50,741","$3,748","$5,239",20.0,19.8,0%,8%,"$2,983","$2,908","$6,112","$5,692","$6,337","$13,343","$15,432","$21,943","$9,012","$9,932",$279,$315,$53,$57,"$3,412","$2,701",$236,$184,$0,0 of 54,"$1,956",44 of 54,$0,5 of 54,$291,7 of 54,Moderate,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"4%, Varying",Low,1 to 3 years,Moderate,Noncompliant,High
Murphy Elementary School District,2017,Maricopa,8,T-1,15,19 and 27,Medium,City,"1,591",4,45.4%,51.3%,16.1%,13.4%,9.0%,3.8%,7.3%,5.0%,"$1,705",$974,Very High,44,68,Very High,$7.39,$6.31,Very High,192,147,Very High,Very High,$3.13,$2.75,High,High,$10.59,$6.81,Very High,"$1,305",$942,Very High,Very High,"$4,803","$4,164","$1,705",$974,"$1,417",$909,$948,$640,$403,$327,$778,$626,$534,$559,"$10,588","$8,199",$334,$924,$489,$582,$234,$255,$94,$146,"$1,151","$1,907","$11,739","$10,106",14%,25%,17%,22%,24%,37%,95%,94%,N/A,N/A,44%,44%,10%,10%,23.7,19.1,"$51,953","$52,696","$6,084","$4,542",9.3,10.3,24%,22%,"$3,863","$1,848","$4,244","$3,857","$3,891","$4,627","$11,998","$10,332","$5,339","$5,145",$249,$236,$46,$43,"$3,872","$1,915",$22,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$1,599",19 of 19,Low,Large decrease,High,No overspending,Low,Voter-approved,Low,"5.6%, Varying",Low,More than 3 years,Low,Compliant,Low
Naco Elementary School District,2017,Cochise,10,T-8,20,14,Small,Rural,287,1,59.2%,52.5%,9.9%,12.2%,8.2%,4.9%,2.3%,3.3%,$811,"$1,231",Very Low,57,54,Very Low,$7.93,$6.81,Very High,126,153,Very Low,High,$4.01,$3.41,Very High,Very High,$9.10,$2.95,Very High,"$4,945","$1,037",Very High,Very High,"$4,831","$4,993",$811,"$1,231",$997,"$1,125",$672,$549,$397,$575,$185,$606,$269,$397,"$8,162","$9,476",$0,$194,$131,$329,$0,$167,$0,$91,$131,$781,"$8,293","$10,257",9%,25%,15%,26%,22%,30%,97%,93%,N/A,N/A,40%,44%,8%,15%,20.5,11.2,"$44,231","$48,132","$5,075","$4,375",9.4,11.5,7%,6%,"$1,017","$2,395","$5,684","$4,806","$1,276","$4,236","$7,977","$11,437","$6,132","$6,815",$266,$269,$50,$50,"$1,017","$1,792",$12,$341,$0,0 of 12,$0,0 of 12,$0,3 of 12,$0,6 of 12,Low,Steady,Low,No overspending,Low,No election held,No Measure,"4.7%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Nadaburg Unified School District,2017,Maricopa,9,T-8,17,13 and 22,Medium,Rural,805,2,47.2%,50.0%,14.3%,12.9%,7.0%,7.8%,5.9%,4.9%,"$1,315","$1,060",Very High,45,58,Very High,$7.86,$6.71,Very High,151,153,Comparable,Very High,$4.16,$3.04,Very High,Very High,$2.90,$2.95,Comparable,"$1,389","$1,037",Very High,Very High,"$4,343","$4,115","$1,315","$1,060","$1,190","$1,004",$649,$571,$716,$427,$543,$528,$450,$463,"$9,206","$8,168",$301,$917,$378,$314,$57,$77,$806,$148,"$1,542","$1,456","$10,748","$9,624",20%,37%,34%,38%,50%,62%,92%,94%,N/A,N/A,17%,19%,12%,14%,15.8,13.3,"$42,258","$44,961","$6,378","$4,257",6.5,12.6,37%,11%,"$1,386","$1,753","$5,206","$4,842","$2,579","$2,654","$9,171","$9,249","$6,069","$5,748",$241,$239,$46,$44,"$1,832","$2,064",$281,$69,$0,0 of 10,$0,0 of 10,$0,3 of 10,$244,8 of 10,Moderate,Steady,Low,No overspending,Low,Voter-rejected,High,"1.7%, Varying",High,1 to 3 years,Moderate,Marginally compliant,Moderate
Nogales Unified School District,2017,Santa Cruz,4,T-6,7,2,Medium-large,Town,"5,583",10,51.2%,52.0%,10.2%,13.9%,8.3%,3.1%,7.6%,5.7%,$733,$844,Low,65,69,Low,$7.59,$5.36,Very High,133,190,Very Low,High,$3.20,$3.00,High,High,$4.45,$3.94,High,$841,$728,Very High,High,"$3,705","$4,032",$733,$844,"$1,007",$987,$598,$409,$226,$414,$551,$607,$410,$481,"$7,230","$7,774",$46,$346,$273,$390,$0,$164,$42,$77,$361,$977,"$7,591","$8,751",33%,18%,33%,17%,43%,25%,96%,92%,90%,79%,42%,43%,8%,12%,20.2,15.3,"$45,604","$48,972","$5,062","$4,489",13.9,12.6,14%,16%,"$1,439","$2,260","$4,676","$4,086","$1,723","$3,104","$7,838","$9,450","$5,081","$5,373",$226,$233,$44,$46,"$1,516","$1,374",$34,$56,$0,1 of 18,$0,0 of 18,$0,7 of 18,$323,14 of 18,Low,Steady,Low,No overspending,Low,No election held,No Measure,"6.7%, Increasing",Low,More than 3 years,Low,Compliant,Low
Oracle Elementary School District,2017,Pinal,10,T-9,17,8 and 11,Small,Rural,383,1,51.8%,52.5%,11.8%,12.3%,3.9%,9.5%,7.1%,3.6%,"$1,304","$1,231",High,56,54,High,$7.19,$6.81,High,191,153,Very High,Very High,$3.22,$3.41,Low,Low,$2.21,$2.60,Very Low,$931,"$1,363",Very Low,Very Low,"$5,751","$4,993","$1,304","$1,231","$1,369","$1,125",$433,$549,"$1,058",$575,$788,$606,$399,$397,"$11,102","$9,476",$424,$194,$423,$329,$1,$167,$83,$91,$931,$781,"$12,033","$10,257",27%,37%,21%,38%,50%,62%,93%,94%,N/A,N/A,17%,19%,20%,14%,14.7,13.3,"$50,315","$44,961","$6,511","$4,257",12.8,12.6,15%,11%,"$1,099","$2,395","$4,776","$4,806","$6,171","$4,236","$12,046","$11,437","$7,844","$6,815",$278,$269,$52,$50,"$1,518","$1,792",$576,$341,$0,0 of 12,$0,0 of 12,$0,3 of 12,"$1,181",6 of 12,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"8.4%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Osborn Elementary School District,2017,Maricopa,8,T-2,14,24,Medium-large,City,"2,778",5,52.6%,51.3%,9.8%,12.4%,6.4%,4.3%,8.2%,6.3%,$862,$974,Low,72,68,Low,$6.75,$6.31,High,162,147,High,High,$2.66,$2.75,Comparable,Comparable,$6.26,$5.31,Very High,"$1,170","$1,178",Comparable,High,"$4,647","$4,164",$862,$974,"$1,096",$909,$566,$640,$380,$327,$720,$626,$555,$559,"$8,826","$8,199",$46,$924,$190,$582,$261,$255,$141,$146,$638,"$1,907","$9,464","$10,106",32%,29%,27%,27%,41%,40%,93%,94%,N/A,N/A,32%,35%,15%,12%,19.6,18.1,"$53,827","$45,606","$7,863","$5,189",7.3,8.5,39%,32%,"$1,820","$1,848","$2,893","$3,857","$5,441","$4,627","$10,154","$10,332","$5,254","$5,145",$239,$236,$43,$43,"$1,888","$1,915",$93,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$2,367",19 of 19,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"5.1%, Varying",Low,More than 3 years,Low,Compliant,Low
Owens-Whitney Elementary School District,2017,Mohave,11,T-11,16,5,Very small,Rural,17,1,48.5%,50.5%,13.3%,20.5%,13.7%,1.8%,0.5%,1.7%,"$2,798","$3,137",No Measure,25,32,No Measure,$10.12,$6.96,No Measure,427,412,No Measure,No Measure,$12.70,$5.79,No Measure,No Measure,$0.60,$1.87,No Measure,$818,"$1,459",No Measure,No Measure,"$10,224","$8,613","$2,798","$3,137","$4,323","$2,644","$2,891","$1,000",$375,$961,$95,$601,$355,$498,"$21,061","$17,454",$0,"$1,161","$1,940",$735,$0,$31,$0,$90,"$1,940","$2,017","$23,001","$19,471",38%,36%,50%,41%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,95%,95%,N/A,N/A,12%,11%,8%,15%,11.6,12.0,N/A,"$50,741",N/A,"$5,239",N/A,19.8,N/A,8%,"$5,159","$2,908","$1,220","$5,692","$18,323","$13,343","$24,702","$21,943","$10,467","$9,932",$281,$315,$54,$57,"$5,159","$2,701",$345,$184,$0,0 of 54,"$4,593",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"28.6%, Increasing",Low,1 to 3 years,Moderate,Not assessed,No Measure
Page Unified School District,2017,Coconino,4,T-10,5,7,Medium-large,Town,"2,621",4,44.8%,52.0%,10.2%,14.7%,4.9%,5.7%,13.0%,6.7%,$937,$844,High,55,69,High,$5.55,$5.36,Comparable,243,190,Very High,High,$3.47,$3.00,Very High,Very High,$2.70,$1.93,Very High,"$1,836","$1,267",Very High,Very High,"$4,107","$4,032",$937,$844,"$1,351",$987,$453,$409,$524,$414,"$1,188",$607,$616,$481,"$9,176","$7,774",$302,$346,$344,$390,$6,$164,$156,$77,$808,$977,"$9,984","$8,751",24%,31%,21%,31%,40%,44%,91%,93%,73%,85%,23%,24%,15%,13%,17.3,17.0,"$45,895","$44,553","$4,349","$5,512",8.9,12.8,29%,16%,"$4,010","$2,260","$3,028","$4,086","$3,939","$3,104","$10,977","$9,450","$5,506","$5,373",$236,$233,$46,$46,"$1,900","$1,374",$31,$56,$0,1 of 18,$0,0 of 18,"$2,358",7 of 18,$0,14 of 18,Low,Steady,Low,No overspending,Low,No election held,No Measure,"7.5%, Increasing",Low,Impact Aid Fund reserve,Low,Marginally compliant,Moderate
Palo Verde Elementary School District,2017,Maricopa,10,T-8,17,4 and 13,Small,Rural,426,1,54.6%,52.5%,12.7%,9.1%,6.2%,7.7%,6.8%,2.9%,"$1,199","$1,231",Comparable,48,54,Comparable,$5.47,$6.81,Very Low,157,153,Comparable,Very Low,$3.01,$3.41,Low,Low,$3.59,$2.95,Very High,"$1,060","$1,037",Comparable,High,"$5,141","$4,993","$1,199","$1,231",$857,"$1,125",$583,$549,$721,$575,$643,$606,$278,$397,"$9,422","$9,476",$158,$194,$254,$329,$71,$167,$2,$91,$485,$781,"$9,907","$10,257",39%,37%,37%,38%,67%,62%,95%,94%,N/A,N/A,21%,19%,11%,14%,18.5,13.3,"$48,132","$44,961","$4,195","$4,257",13.0,12.6,9%,11%,"$1,295","$2,395","$5,459","$4,806","$3,263","$4,236","$10,017","$11,437","$6,403","$6,815",$261,$269,$50,$50,"$1,397","$1,792",$67,$341,$0,0 of 12,$0,0 of 12,$0,3 of 12,"$1,248",6 of 12,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"6.2%, Varying",Low,More than 3 years,Low,Compliant,Low
Paloma Elementary School District,2017,Maricopa,11,T-11,20,4,Very small,Rural,94,1,51.9%,50.5%,15.5%,19.1%,6.4%,2.1%,2.7%,2.3%,"$2,367","$3,137",No Measure,43,32,No Measure,$18.02,$6.96,No Measure,162,412,No Measure,No Measure,$3.60,$5.79,No Measure,No Measure,$0.84,$1.87,No Measure,$335,"$1,459",No Measure,No Measure,"$7,932","$8,613","$2,367","$3,137","$2,919","$2,644",$988,"$1,000",$316,$961,$416,$601,$348,$498,"$15,286","$17,454","$33,368","$1,161","$1,211",$735,$0,$31,"$1,355",$90,"$35,934","$2,017","$51,220","$19,471",25%,25%,25%,26%,31%,30%,95%,93%,N/A,N/A,47%,44%,19%,15%,13.5,11.2,"$49,269","$48,132","$3,677","$4,375",10.6,11.5,25%,6%,"$2,594","$2,908","$1,100","$5,692","$43,355","$13,343","$47,049","$21,943","$6,866","$9,932",$285,$315,$53,$57,"$3,553","$2,701",$209,$184,$0,0 of 54,"$33,846",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"15.6%, Increasing",Low,More than 3 years,Low,Compliant,Low
Palominas Elementary School District,2017,Cochise,9,T-9,17,14,Medium,Rural,961,3,52.1%,50.0%,12.8%,11.5%,4.9%,9.1%,5.2%,4.4%,"$1,065","$1,060",Comparable,51,58,Comparable,$7.10,$6.71,High,135,153,Low,High,$3.21,$3.04,High,High,$1.99,$2.60,Very Low,"$1,071","$1,363",Very Low,Very Low,"$4,348","$4,115","$1,065","$1,060",$960,"$1,004",$408,$571,$757,$427,$436,$528,$366,$463,"$8,340","$8,168",$159,$917,$374,$314,$31,$77,$40,$148,$604,"$1,456","$8,944","$9,624",56%,37%,53%,38%,81%,62%,97%,94%,N/A,N/A,19%,19%,13%,14%,15.5,13.3,"$38,433","$44,961","$4,733","$4,257",10.5,12.6,13%,11%,"$1,472","$1,753","$5,857","$4,842","$2,424","$2,654","$9,753","$9,249","$6,572","$5,748",$237,$239,$44,$44,"$1,470","$2,064",$35,$69,$0,0 of 10,$0,0 of 10,$45,3 of 10,$0,8 of 10,Low,Steady,Low,No overspending,Low,No election held,No Measure,"7.9%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Paradise Valley Unified School District,2017,Maricopa,1,T-4,2,"15, 20, 23, and 28",Very large,City,"30,741",44,57.0%,56.4%,8.2%,12.9%,2.9%,4.1%,9.9%,5.0%,$651,$680,Comparable,74,80,Comparable,$6.26,$6.15,Comparable,165,147,High,Comparable,$2.65,$2.79,Comparable,Comparable,$4.03,$3.61,High,"$1,407","$1,278",High,High,"$4,557","$4,386",$651,$680,"$1,030",$877,$235,$323,$327,$341,$788,$679,$401,$358,"$7,989","$7,644","$1,002",$651,$541,$393,$328,$223,$283,$209,"$2,154","$1,476","$10,143","$9,120",46%,44%,47%,44%,63%,60%,95%,95%,90%,90%,15%,13%,13%,12%,17.4,18.4,"$48,299","$46,837","$6,307","$6,016",12.7,11.3,17%,18%,$835,$885,"$2,795","$3,394","$6,871","$5,302","$10,501","$9,581","$5,545","$5,387",$249,$241,$46,$46,$843,$901,$102,$98,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$2,554",10 of 10,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"8%, Varying",Low,More than 3 years,Low,Marginally compliant,Moderate
Parker Unified School District,2017,La Paz,5,T-6,7,5,Medium,Town,"1,875",6,51.1%,50.2%,10.7%,14.2%,5.2%,5.1%,9.7%,4.0%,$987,"$1,102",Low,65,53,Low,$6.70,$5.20,Very High,195,263,Very Low,High,$3.30,$3.54,Low,Low,$3.88,$3.94,Comparable,$763,$728,Comparable,Comparable,"$4,712","$4,541",$987,"$1,102","$1,307","$1,289",$476,$396,$471,$488,$899,$632,$369,$346,"$9,221","$8,794",$221,$764,$655,$536,$0,$221,$2,$78,$878,"$1,599","$10,099","$10,393",23%,18%,22%,17%,29%,25%,93%,92%,81%,79%,40%,43%,13%,12%,16.0,15.3,"$42,783","$48,972","$6,513","$4,489",10.9,12.6,25%,16%,"$4,611","$3,999","$3,375","$4,066","$1,472","$4,210","$9,458","$12,275","$5,130","$5,929",$230,$243,$45,$49,"$1,187","$1,751",$14,$138,$0,1 of 29,$0,0 of 29,"$3,450",14 of 29,$517,20 of 29,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"4.7%, Increasing",Low,More than 3 years,Low,Compliant,Low
Patagonia Elementary School District,2017,Santa Cruz,11,T-11,18,2,Very small,Rural,74,1,48.5%,50.5%,13.0%,13.8%,4.9%,8.3%,5.6%,5.9%,"$2,530","$3,137",No Measure,55,32,No Measure,$4.84,$6.96,No Measure,557,412,No Measure,No Measure,$5.32,$5.79,No Measure,No Measure,$1.39,$1.87,No Measure,"$3,314","$1,459",No Measure,No Measure,"$9,460","$8,613","$2,530","$3,137","$2,696","$2,644",$951,"$1,000","$1,617",$961,"$1,084",$601,"$1,157",$498,"$19,495","$17,454",$123,"$1,161",$667,$735,$0,$31,$111,$90,$901,"$2,017","$20,396","$19,471",37%,36%,35%,37%,46%,61%,94%,94%,N/A,N/A,23%,26%,17%,14%,7.6,14.6,"$38,338","$49,194","$2,845","$5,175",10.3,14.0,20%,7%,"$2,106","$2,908","$4,313","$5,692","$14,229","$13,343","$20,648","$21,943","$10,127","$9,932",$276,$315,$57,$57,"$2,144","$2,701",$257,$184,$0,0 of 54,"$3,074",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"6.2%, Increasing",Low,More than 3 years,Low,Compliant,Low
